statement,answer,difficulty
Layer 2 rollups like Optimism and Arbitrum scale Ethereum by batching transactions.,yes,4
Someone actually paid over $1M for a pixelated picture of a rock.,yes,4
CryptoPunks were one of the first popular NFT collections.,yes,2
Yield farming began in 2015.,stfu,5
Uniswap was built on Bitcoin originally.,stfu,4
DAO hack was in 2018.,stfu,3
"The ENS name “sex.eth” sold for only $60,000.",stfu,5
Ethereum gas fees were eliminated by EIP-1559.,stfu,4
Vitalik has never spoken publicly about DAOs.,stfu,3
Base requires its own $BASE token to pay for gas.,stfu,3
The London hard fork introduced EIP-1559 to burn gas fees.,yes,4
Someone paid over $10M for a pixelated picture of a rock.,stfu,4
All NFTs sold in the EU after 2021 were classified as securities under MiCA.,stfu,2
zk-rollups were invented in 2021.,stfu,4
Coinbase wallets support both Ethereum and Base.,yes,3
Gwei is equal to one trillion ETH.,stfu,4
DeFi summer happened in 2020.,yes,4
Circle issues USDT.,stfu,4
